log,incident_type,is_mh
brother throwing bricks at the window - has mh issues - happened after an argument - xxxxx is outside the property now - xxxxx is shouting outside the house - xxxxx throwing stones at the top floor flat given out xxxxx dob - last name xxxxx first name xxxxx -  has anger management xxxxx - house is locked and secure - still screaming xxxxx had left prior to our arrival,Domestic Disturbance,TRUE
caller concerned for friend’s safety - suicidal and has a history of depression and self-harm - has locked himself in his bedroom and has a razor blade - worried that person may harm himself or attempt suicide - caller has tried to talk to person but he is not responding - person’s name is xxxxx - lives at xxxxx - caller is outside the person’s house and needs police and ambulance,Domestic Disturbance,TRUE
"report from xxxx year old xxxx named xxxxx - fears for safety - broke up with ex-partner two months ago since has been sending abusive texts and emails - calling repeatedly , showing up at her workplace and home - has also threatened to harm her and himself if she does not get back with him - also reported to the police before but not stopped - scared for own safety - wants a restraining order - describes as xxxxx, xxxx years old ",Harassment/Stalking,TRUE
caller having issues with neighbour - sending abusive texts and emails - making false accusations to the council and police - caller has a restraining order against the neighbour - neighbour has breached order several times - neighbour came to door and spat on her - wants to press charges - neighbour’s name is xxxxx - neighbour has left the scene xxxxxx car reg xxxxx - caller is uninjured but shaken up,Harassment/Stalking,FALSE
caller heard a loud noise from the flat above - went to check and saw a woman being attacked by a man - woman was screaming and crying - man was hitting her with a chair - caller tried to intervene but was pushed away by the man - caller ran downstairs and called 999 - woman’s name is xxxxx xxxxx - lives at xxxxx xxxxx - man’s name is unknown - man is still in the flat with the woman and may have a knife,Domestic Abuse,FALSE
victim’s husband hit her with a belt and threatened to kill her - managed to escape and call from a neighbour’s house - is in pain and has bruises and cuts on her body - needs police and ambulance - husband’s name is xxxxx - xxxxx desc - husband is still at home and may be armed with a knife - victim’s name is xxxxx - lives at xxxxx xxxxx avenue - caller is afraid for her life and wants to leave the husband,Domestic Abuse,FALSE
fears for safety of neighbours - heard loud shouting and banging noises from the flat next door - concerned for the safety of the couple and their children - does not know the names of couple - knows they have two children aged xxxxxx - tried to knock on the door but no answer - can still hear noise - afraid someone may get hurt - caller’s name is xxxxx ,Domestic Abuse,FALSE
victim was walking home from work when was attacked by two unknown males - punched and kicked several times - suspects took wallet and phone and ran away - victim managed to get to a nearby shop and call for help - has injuries to face and ribs - bleeding from nose and mouth - needs medical attention - suspects are described as xxxxxx - last seen heading towards xxxxx street,Assault,FALSE
witnessed theft at a local shop - saw a man grab a bag of crisps and run out without paying - shopkeeper chased after but could not catch - caller followed the suspect - got into a car and drove away - noted car’s description xxxxxx ,Theft,FALSE
caller annoyed by the loud music coming from flat above - music has been playing for hours - disturbing the caller’s sleep - has asked the flat owner to turn down the volume but was ignored - caller wants the police to intervene and stop the noise - flat owner’s name is xxxxx - caller is tired and frustrated,Noise Complaint,FALSE
report of disturbance in residential area - xxxxxx xxxx walking around in underwear shouting loudly - known to local social services as having severe learning difficulties - caller is worried xxxx may have hurt themselves,Domestic Disturbance,TRUE
"Caller reports ongoing harassment and stalking - individual has been sending threatening messages and following them to their workplace and residence - fear for their safety and requests immediate assistance - identified as xxxxx xxxxx - history of erratic behavior and diagnosed schizophrenia - description a xxxxx, xxxxx with xxxxx - victim emphasizes the urgency of the situation",Harassment/Stalking,TRUE
"domestic disturbance at xxxxxx xxxxxx - caller states that they heard loud shouting and crashing noises coming from the house - expresses concern for the safety of individuals involved - one of the individuals, identified as xxxxx bipolar - has been off prescribed medication for several days - xxxxx exhibiting signs of agitation and irrational behavior ",Domestic Disturbance,TRUE
concerned mother of xxxx year old xxxx named - not returned home from school - last spoke to her daughter xxxxx - texted her to say she was on the bus - she was supposed to be home by xxxxx - not arrived or answered her phone - xxxxx is usually reliable and has no known problems or issues - she is worried that something might have happened to her,Missing Person,FALSE
store owner detained a female shoplifter who tried to steal some items from the store - says he saw her putting some cosmetics and chocolates in her handbag and confronted her at the exit - she admitted to the theft and handed over the goods - she is currently in the staff room with the caller and another employee - she is confused and seems not to be aware of her surroundings ,Theft,TRUE
xxxxx year old male xxxxx victim of fraud - received a phone call claiming to be from bank - claimed problem with account - asked to confirm details and security code - gave them information then realised it was scam - checked online and saw xxxxx had been transferred from account to unknown recipient - contacted bank confirmed a fraudulent transaction and froze account - they advised him to report ,Fraud,FALSE
xxxx year old male named xxxxx caught with drugs by a nightclub security at xxxxx - had a small amount of cocaine in his pocket - bought it from a dealer outside the club and it was for his personal use - not a regular user and he regrets his mistake - he is currently in the security office with the guard and the drugs,Drugs,FALSE
gentleman has caught elderly gentleman trespassing on his farm on xxxxx lane - was doing his rounds this morning when he saw man walking on his driveway - he says he confronted him and asked him to leave - very confused and he suspects they have dementia  - he requests police attendance to remove the trespassers and provide appropriate care,Trespassing,TRUE
owner of a car repair shop on xxxxx road - arrived this morning found several cars damaged - windows were smashed tyres slashed paint scratched - has cctv footage of the incident - saw three xxxxx wearing xxxx doing the damage at xxxxxx - left on bikes and headed towards xxxxx park - no ideas why they targeted his shop,Vandalism,FALSE
